frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
800,15,auto,1432,297,1918,1011,1636,605,1737,674,0.349,243.4,True,TN03D9766,0.989,TN03D9766,accepted,263.6
800,26,motorcycle,1061,395,1221,637,1104,534,1156,569,0.270,243.4,True,,,,no_text,62.0
805,28,motorcycle,963,395,1178,717,999,484,1088,523,0.683,385.3,True,,,,no_text,70.0
805,28,motorcycle,963,395,1178,717,1006,589,1067,628,0.459,385.3,True,,,,no_text,74.7
805,15,auto,1439,299,1919,1013,1636,603,1739,670,0.409,385.3,True,TN03D9766,0.986,TN03D9766,accepted,270.0
810,27,motorcycle,818,418,1100,850,854,533,959,573,0.715,238.4,True,,,,no_text,334.6
810,15,auto,1441,296,1919,1007,1635,598,1739,666,0.506,238.4,True,TN03D9766,0.976,TN03D9766,accepted,278.5
815,27,bus,924,222,1198,505,978,447,1052,473,0.586,280.3,True,,,,no_text,169.7
815,29,motorcycle,450,488,952,1078,514,642,672,699,0.435,280.3,True,,,,no_text,287.4
815,30,auto,1444,290,1918,1004,1722,779,1839,845,0.368,280.3,True,,,,no_text,73.7
815,15,auto,1444,290,1918,1004,1639,597,1744,668,0.367,280.3,True,TN03D9766,0.975,TN03D9766,accepted,263.3
820,31,bus,820,201,1171,528,906,461,990,490,0.652,251.0,True,TN23AP4113,0.707,TN23AP4113,accepted,174.0
820,15,auto,1448,293,1919,1006,1646,596,1754,672,0.371,251.0,True,TN03D9766,0.988,TN03D9766,accepted,206.1
825,31,bus,713,173,1143,554,825,479,902,509,0.679,415.8,True,TN23AP4119,0.910,TN23AP4119,accepted,178.3
825,15,auto,1452,292,1919,1003,1648,593,1754,665,0.455,415.8,True,TN03D9766,0.976,TN03D9766,accepted,312.2
830,31,bus,562,140,1095,592,688,505,784,540,0.716,331.5,True,TN23AP4115,0.955,TN23AP4115,accepted,182.9
830,15,auto,1449,289,1919,1001,1650,590,1759,670,0.526,331.5,True,TN03D9766,0.968,TN03D9766,accepted,260.7
830,31,bus,562,140,1095,592,686,448,779,495,0.302,331.5,True,,,,no_text,57.5
835,29,bus,328,85,1033,652,475,544,592,591,0.685,241.9,True,TN23AP4115,0.962,TN23AP4115,accepted,177.7
835,15,auto,1448,286,1919,1005,1645,594,1751,662,0.437,241.9,True,TN03D9766,0.973,TN03D9766,accepted,211.5
